,Speaker,Timestamp,Text,Seconds
520,Senator Andy Kim,07:39:33,"Here's my question for you. You laid out what's going on in Social Security today. It's like the opposite of efficiency, right? It's called the Department of Government Efficiency. And what we know for certain in the Social Security system is that everything they're doing has the intent of making the system less efficient, right? You don't just close dozens of offices and shut down the phone system to make the system more efficient. You do that to make the system less efficient. And so I'm trying to figure out why. I'm trying to figure out why. And I'll give you two theories and then let you tell me if you think I'm right or I'm wrong.",27573
521,Senator Andy Kim,07:40:21,"It could be a pretext to eradicate the whole system. What did they say about USAID? They said that USAID was a corrupt enterprise. It was corrupt. No evidence of corruption in USAID. No evidence of corruption, no allegations of specific corruptions, but they just made these accusations that USAID was criminal. Musk and Trump said this, ""It's a criminal enterprise, it's a corrupt enterprise,"" and that became their justification to eliminate it. Within weeks, USAID, one of the most important vehicles of US national security was gone, was gone. They didn't run on that. Nobody saw that coming. It was two weeks of allegations about criminality and corruption, and then USAID vanished and people were looking around, ""What happened? They didn't tell us they were going to do that,"" and now it's gone.",27621
522,Senator Andy Kim,07:41:21,"They certainly didn't run on eliminating Social Security or cutting people's benefits. But boy, the playbook seems a little familiar here that all of a sudden there are these lies being told, lies being told. Let's say what it is about the corruption inside Social Security. As you said, the improper benefit payments are minuscule, right? 0.3% of overall payments. And so is this a pretext to ultimately make big cuts in Social Security? Or alternatively, is it just part of a plan to just sort of put the entire country on edge? To just make everybody wake up in the morning wondering whether they're next, right? ""Is it my Medicaid benefit that's going to be cut? Is social security going to be there for me if I'm a federal employee? Is my job here next week?""",27681
523,Senator Andy Kim,07:42:28,"And is that a means of distracting you from the corruption and the thievery that's happening at the highest levels of government? Is that in service of an agenda to try to convert this country from democracy to something else? If everybody is just so focused on the next hit, Medicare, Medicaid, Social Security, my son losing his federal job. Is that a means to ultimately try to drive an agenda through the back door while people are looking at the threats coming at them through the front door? It's clearly not about efficiency. I mean, that's what we know. The changes they're making to Social Security are not about efficiency. The question is, what's the agenda here if it's not efficiency?",27748
524,Senator Cory Booker,07:43:22,"Again, you and I, presiding officer, there's a lot of people here I know that operate from just a place of just decency. There are problems with government, we need to fix them. We need to make government more efficiency. We need to deal with the national debt. There's so many things that people on the right and the left in this country can agree on. You and I could agree that, God bless America, government can be a lot more efficient. But the question is is they're not playing on the level. There are lies about USAID, like, I don't know, 5 million condoms going to Gaza or something outrageous, and easily proven false time and time again.",27802
525,Senator Cory Booker,07:43:59,"A President of the United States, again, this doesn't shock people anymore, he's a president more than any other modern president, by independent fact-checkers has proven to lie over and over again. But as I sat there listening to his speech, and he just goes on and on about transgender mice, when that was proven to be utterly a lie. Or else somebody just misreading the kind of mice that are used in medical experiments, which have a similar word. So are they lying in order to attack these programs? DOGE is insidious in the fact that they keep posting things and then having to pull them down because just independent folks.",27839
526,Senator Cory Booker,07:44:41,"And I have article after article, we're so far behind in this agenda of things to get through, I'm not going to read them all. Some of them I'll submit to the record, but not people on the left calling them out for what they're doing and saying being a lie about Social Security. So you're pointing out a pattern. First, they tell terrible lies to try to whip up public sentiment against entities created in a bipartisan way, by the way, using congressional powers, approving spending, approving programs, approving agencies. Let's create incredible lies, magnify them on social media, try to spread them with our influencers and everybody.",27881
527,Senator Cory Booker,07:45:24,"So now people believe that somehow, ""Oh, the president talked about all this money going to transgender mice."" That's a lie, but we're going to use that as an excuse to attack scientific funding. We're going to use that as an excuse to attack Medicaid. We're going to use that excuse to pull the people fighting Ebola out of East Africa. And so I was told by a colleague, a Republican colleague of mine, ""When you come here, don't try to get into the head of your colleague and understand what their motivations are."" But this to me is a pattern in which they're trying to undermine public confidence. And the result of this pattern has seniors,",27924
528,Senator Cory Booker,07:46:11,"Letter after letter I wrote using things like I'm losing sleep, I'm terrified, I'm scared, help me please, telling the most painful stories about retirement insecurity, about health challenges. And so again, I have this expectation, whether you're a Republican or a Democratic president, you don't insinuate fear amongst vulnerable communities. You don't insinuate fear amongst our elders who deserve our respect and deserve to retire with dignity. You don't do that. You stand boldly in front of them and say, you know what? There are some things we're going to improve. We're going to try to bring the best minds in America to make the best customer service because every independent group has been saying that customer service is failing.",27971
529,Senator Cory Booker,07:46:59,"And yeah, we want to go after fraud and abuse, but we're not going to do it. First thing we're going to do is fire the inspector generals who have a better record than Elon Musk has over this last decade in rooting out fraud and abuse under Democrat and Republican presidents. So it just doesn't add up. It's not on the level. And so before I allow you to ask the next question, what does this amount to, Senator Murphy? Ultimately what this amounts to is an attack on the programs, the healthcare, the services, the retirement security that millions of Americans rely on. And often for them what they're relying on is the difference between safety and security and chaos and destitution. I'm not exaggerating that. When somebody's Social Security check is the only income they have and they've already downsized, as you said, brought in roommates doing everything they can to cut costs because under this president costs are going up. This is why we have to stand and not let this happen.",28019
530,Speaker 1,07:48:04,The gentleman yields?,28084
531,Senator Cory Booker,07:48:05,"Yes, I will yield for a question while retaining the floor.",28085
532,Senator Andy Kim,07:48:09,"So there's also a third agenda here. We were not necessarily both here at this time, but a few Republican administrations ago, there was an attempt to privatize Social Security, to take the corpus and move that money into the hands of the private sector for them to manage the money and, of course, charge a fee or a commission for the management of the money. The Social Security Trust Fund, if sort of fully handed over to investors on Wall Street, could make a lot of money for that industry. The American people rose up against that. It was stopped in its tracks, but that is still a priority for a lot of allies of the president, to get their hands on that money inside Social Security. And, again, I'm previewing a future conversation, but I keep on making the analogy to what is happening inside of the education space because those same industries, whether it be investment banks or private equity firms, get wide-eyed at our public education dollars as well, because they would love to get their hands on those public education dollars and have private equity companies running our elementary schools and middle schools and high schools and skimming a little bit of money off the top to pay back their investors.",28089
533,Senator Andy Kim,07:49:40,"And so the other potential agenda here is to attack the public administration of Social Security, attack the public administration of our public schools in order to shift that administration and the oversight of the investments, in the case of Social Security, to the private sector so that the president can hand those functions and that oversight to friends in the private sector. And once again, it just becomes a moneymaking vehicle for folks who already are doing very well instead of an exercise in just trying to promote good governance. Instead of the agenda simply being the education of our kids or the administration of a benefit program, it just becomes about making somebody else money. I pose that as a question to my friend because we saw this attempt to try to privatize Social Security, and you can certainly see at the end of this assault, this false assault, on the inefficiency of the public administration, the solution being to turn the program over to the private sector, the privatization of Social Security that many Republicans have wanted for a long time finally coming to fruition.",28180
534,Senator Cory Booker,07:51:03,"So that's the problem, right, is that if you have an idea, bring it. Let's have a national debate. Let's bring in experts. Let's have a debate. The person you're talking about, Bush, who had that idea, he had the good sense to say, you know what? I'm not going to try to kill the agency. I'm not going to lay off thousands of their employees. I'm not going to drive the services it provides, make them worse to be called out by right-leaning newspapers and right-leaning writers. I'm actually going to bring my idea forward and let's have the debate in Congress. Let's bring people together. Let's hold the hearings. Let's have the conversation.",28263
535,Senator Cory Booker,07:51:39,"I can deal with that because, this is going to surprise you, Senator Murphy, is I've had conclusions about policy positions that I've changed over the years. When I've had a debate, I had a contest of ideas, people have persuaded me. But that's not the way Trump operates. He tried to kill healthcare without a plan. The powerful letter I read by John McCain about why he voted no is because it was first kill this thing that people rely on, don't worry, trust me, we'll figure it out later. That's what's happening with Medicaid right now. There's no conversation about how to better provide healthcare to the tens of millions of people that rely on Medicaid, from our seniors to expectant mothers to people with disabilities. No conversation. They're just sending people into dark rooms and saying, here's $880 billion I need. Find a way to cut it. Let's kill it, and then see what happens.",28299
536,Senator Andy Kim,07:52:37,"Ready, fire, aim.",28357
537,Senator Cory Booker,07:52:38,"Ready, fire, aim. Look, Senator Murphy, I prepared for so many days on this and we are talking about the point, so I'm going to submitâ¦ There's lots of articles here that I'm going to submit to the record. Without objection from the presiding officer, I'd like to submit Washington Post article about long waits, waves of calls, website crashes, Social Security is breaking down. May I submit this for the record?",28358
538,Presiding Officer,07:53:06,Without objection.,28386
539,Senator Cory Booker,07:53:08,"Thank you to the presiding officer and my friend who I'm keeping up at 3:00 AM. He's a kind, generous man to be here. Here's a closure of Social Security offices, 47 closures across the country in red states and blue states, everywhere in between, closures of Social Security offices. I know everybody's talking about cutting Social Security, but what they're doing right now, right now, is grinding the services of Social Security, grinding them down. So with the permission of theâ¦ I'd like to submit an article for the record from the Associated Press, a list of Social Security offices across the US expected to close this year.",28388
540,Senator Cory Booker,07:53:59,"Thank you very much. I want to read some of the places. Without the rest of the language I just put in the record, but just for folks out there that are watching, these are the places Social Security offices provide really important services to your community that this administration, Elon Musk, are closing: Alabama, 634 Broad Street; Arkansas, 965 Holiday Drive, Forrest City, 483 Jefferson Avenue in Texarkana. In the great state of Colorado, they're closing 825 North Crest Drive, Grand Junction. In Florida they're closing 4740 Derry Road in Melbourne. In Georgia they're closing 1338 Broadway, Columbus. In Kentucky they're closing 825 High Street in Hazard. In Louisiana they're closing 178 Civic Center Drive, Houma. In Mississippi, there's three places they're closing: 4717 26th Street, Meridan, Meridian, excuse me to the great people that live there; 604 Yalobusha Street in Greenwood; 2383 Sunset Drive in Grenada, Mississippi. In Montana they're closing 3701 American Way.",28439
541,Senator Cory Booker,07:55:20,"They're closing Social Security offices in North Carolina, 730 Roanoke Avenue, Roanoke Rapids. They're closing 2123 Lakeside Drive in Franklin, North Carolina. They're closing 2805 Charles Boulevard in Greenville, North Carolina. I know that town. They're closing 1865 West City Drive in Elizabeth City, North Carolina. In North Dakota they're closing 1414 20th Avenue, Southwest, forgive me the great people that live in this community, but Minot I'm pronouncing it and I'm sure I'm butchering it. In Nevada where my mom lives, in the city my mom lives, they're closing 701 Bridger Avenue, Las Vegas. In New York, 75 South Broadway, White Plains, my mom worked there and 332 Main Street in Poughkeepsie, New York. In Ohio, 30 North Diamond Street, Mansfield; in Oklahoma, 1610 Southwest Lee Boulevard; in Texas they're closing two offices: 1122 North University Drive, I know that people are going to write me letters that I'm mispronouncing their town's names, Nacogdoches. Anybody from Texas here? No? I'm sorry. 8208 Northeast Zac Lentz Parkway. In West Virginia they're closing 1103 George Kostas Drive. In Wyoming, they're closing 79 Winston Drive, Rock Springs, Wyoming.",28520
542,Senator Cory Booker,07:56:52,"There're cuts to Social Security staff. How deeply are they cutting? They're cutting thousands. We've already talked about it, but, if I can, from the Associated Press, can I enter this article, ""Social Security Administration Could Cut Up to 50% of Its Workforce""?",28612
543,Presiding Officer,07:57:08,Without objection.,28628
544,Senator Cory Booker,07:57:08,"Thank you. The article that I won't read, out of generosity to my dear friend who's presiding, but it details in painful ways what these cuts could mean to people in our country. Just trying to move a little quicker through my documents because I'm way behind. The impact of these cuts, one of the big places they're going to impact is in rural America, is already suffering so much. There's a lot of sources that are talking about the rural areas of our nation they're going to cut. And I'd like to enter the record another Associated Press article entitled ""New Social Security Rules Present Barriers to Rural Communities Without Internet and Transportation, A new requirement that the Social Security recipients go online or in person to a field office to access key benefits instead of just making a phone call will be difficult for many people to meet in those rural areas."" This is an article from March 22nd. Can I enter that into the record?",28628
545,Presiding Officer,07:58:02,Without objection.,28682
546,Senator Cory Booker,07:58:03,"Thank you. Thank very much to the kind friend who's up with me late or early, I should say. One more article I want to read, I want to ask for the record. I feel like I can take liberties with the presiding office because I've known him for 20-plus years. I consider him a real friend. He married up and he's going to teach me how to do that. I guess I'm not allowed to insult a colleague on this. That's a violation of Rule 19, I think. But it was a joke. But you did marry up. You know that.",28683
547,Senator Cory Booker,07:58:37,"Okay, so this is a former Social Security officers who are speaking out about what's happening, people that have worked in the agency, see what's happening. Two former senior officials at the Social Security Administration, one under a Democratic president, one under a Republican president, wrote this column published in The Hill. The title of the column is ""Social Security Faces A Crisis With Staff Cuts, Closures."" Again, these are folks from both sides of the aisle yelling into the wilderness, hoping that more people will understand what is happening to Social Security, what these cuts and staff are actually going to do to the quality of life of millions of Americans who rely on Social Security, disproportionately impacting people that are living in rural areas, red states, blue states, Republicans, Democrats. This is not a normal time, America, that a bedrock commitment made is being undermined by the most powerful man in our country and the richest man in the world. And the title the article, ""Social Security Faces a Crisis With Staff Cuts and Closures"" written by, again, somebody who worked under a Republican, somebody who worked on a president. May I enter this to the record?",28717
548,Presiding Officer,07:59:46,Objection.,28786
549,Senator Cory Booker,07:59:49,"And I want to end with what I've been trying to do since I started some, I think, about eight hours ago. Yeah, eight hours ago I began. I want to begin by doing what I said I was going to do is not just lift my voice but lift the voice of New Jerseyans and Americans. And so here's some words.",28789
550,Senator Cory Booker,08:00:16,"This is one employee from New Jersey who contacted me to say that, ""The teleservice center has received many calls from the public, from New Jersey to Georgia and other states. They all have in common is the fear of losing their livelihood as a result of identification verification in-person visits. Seniors, disabled, and others that are economically disadvantaged need a voice, Senator Booker, and the voice I hear all throughout the day from seniors are voices of fear. Please review any policy of in-person identification for the public."" Person from my state begging because they're hearing the fear of the seniors that they've pledged themselves to serve.",28816
551,Senator Cory Booker,08:00:58,"Another Social Security employee from New Jersey who contacted me said, I quote, ""I worked at Social Security for almost 19 years. I was approaching my 19 years in July. However, I took the early-out retirement because there's a lot of uncertainty within the agency. The resignation of others also brings additional phone calls and workloads into the office. This adds additional stress and no additional bodies to handle the workloads. It also provides poor unfair service to the public.""",28858
552,Senator Cory Booker,08:01:30,"Here's another story from a Social Security employee in New Jersey. ""I am a claims representative for our Social Security field office. The most dramatic changes I've noticed from ourâ¦ field office. The most dramatic changes I've noticed from our recent change in operations is that our appointment calendar seems to be filling up more quickly for simple post-entitlement changes that were formerly handled over the phone. This occupies appointment space for most urgent and critical issues that would warrant an office visit. We have identity verification protocols already in place to keep identities thieves in check. To the extent that some fraudsters are still getting through, requiring people to come into our office to verify their identity is an obviously less efficient solution to the problem. A better solution to enhance security question protocols is to use two-step verification systems and document fraud attempts in our technician experience dashboard so scammers can't just shop around for field offices to fool. Regarding the in-person identifying policy, I believe that it is causing more harm than good. I've had claimants appearing in person frantic that they will lose their benefits because of this. My office has lost four staff members, two who are members of management. This is nothing but chaos here and I can foresee more loss and a further decline in employee morale."" That's from a Social Security employee in my state describing what's going on in their office.",28890
553,Senator Cory Booker,08:03:06,"Another New Jersey Social Security worker, ""I work in one of the smaller offices in New Jersey, and we are currently combined with another office that is undergoing renovations, which has caused the number of claimants coming into the office to double over the last few months. And although we do have extra staff because the staff have been deployed to our location, it doesn't change the infrastructure of the building, such as the number of desks available to do in-person interviews and provide adequate waiting space for double the amount of claimants. In our office we only have nine desks where we can interview the public due to safety and safety protocols. Three of these are front windows where we can do quick changes and six of them are where we could do short interviews or benefit applications. Right now, being that most interviews are being done over the phone, we have over 20 people interviewing at a time now. Imagine having to do these interviews in person. We can only have six to nine interviews at a time instead of 20-plus because there's only six by nine desks available. This doesn't seem very efficient."" Maybe they shouldâ¦ Too bad they can't call the Department of Government Efficiency who caused the problem.",28986
554,Senator Cory Booker,08:04:30,"Here's another Social Security worker, their story. ""The foot traffic in the field office on a daily basis is already overwhelming. The public coming in randomly to show their identity would be a disadvantage for the elderly, people with vision issues, disabled, and someone with no car. This really hits home with me. My older brother lost his right leg to diabetes, is legally blind, and unable to drive. He called me concerned about this, knowing there is no way he can get to his field office and cannot afford to lose his retirement. I'm hoping this is reconsidered.""",29070
555,Senator Cory Booker,08:05:03,"Social Security is not a program, it's a promise. We owe it to seniors and working people who've paid into the Social Security their whole lives to make good on the promise of a secure retirement, not to attack Social Security, to drive them into fear and worry, and, when they call for help, to put them on hold for hours or drive them into offices that may be closing or are overcrowded or are unable to help our elders. Does this sound like America at its best? Does this sound like America being made great again? This is outrageous. These are our elders. They deserve dignity, respect, and they deserve their Social Security.",29103
556,Senator Cory Booker,08:06:02,"I'm going to move on to the next item, but I want to reiterate again, I'm determined to stand here as long as I physically can. We're eight hours into it. Dozens and dozens of people, I've read their stories. As I've gone around the country, I've gone around my state, there's this growing anger and rage and fear. There's chaos, there's confusion, and they read the newspapers and see that programs are helping them when an unexpected disease or cancer or a crisis hits them. And they see that a bunch of folks are trying to figure out how to cut $880 billion from things like Medicaid. The stories got me a little emotional just because hearing about so many people who, not to their fault, not to their problem, were hit by a crisis, a challenge, an accident at work, are now sitting back and are going to see what we do. People who have told us that their whole delicate, fragile world works because they have a transportation program that could be on the blocks of cuts and Medicaid or that their home healthcare worker or that their medicationsâ¦",29162
557,Senator Cory Booker,08:07:43,"And even while these big issues are being discussed, we're seeing, as we've been documenting here again from Republicans and Democrats, how the administration's already taking steps to roll back programs, to seize funding that people have been used to access the ACA or to lower their prescription drug costs or that are funding their research that we're competing with China through the NIH. Republicans and Democrats we've read already who have been saying, hey, wait a minute, you shouldn't cut the things that actually produce money for your country in the long term.",29263
558,Senator Cory Booker,08:08:18,"But now here's something that I want to get into, which is education in our nation. I believe that genius is equally distributed in the United States. There's as many geniuses being born in the wealthiest parts of New Jersey and Pennsylvania as are being born in the lowest incomes. And in the global knowledge-based economy, the most valuable natural resource any nation has is the genius of its children. One genius, one Einstein, one Madam Curie, one genius could change humanity forever. And I hear these stories about China graduating more people in STEM than we have total graduates in our entire country. It's a global competition. And if we are to be this nation that Andy Kim talked about, where every generation has the right as an American to expect that the next generation will do better, not worse, so much of this revolves around what we all know: how important education is to a democracy, especially the best ideas, the best innovations, the best artists, innovators, entrepreneurs, scientists, doctors, teachers. We need to invest in the best pipeline possible, but now, not with Congress who established the Department of Education but by executive fiat, undermining the separation of powers, the administration wants to dismantle, defund, destroy the Department of Education and scatter its responsibilities across agencies that themselves are going through massive personnel cuts and are not equipped to handle them.",29298
559,Senator Cory Booker,08:10:16,"This is ultimately about whether or not we as a nation believe that every child deserves an education and we should organize ourselves to meet that calling. Our nation's children are that precious resource. One of the most noble professions are those people that teach our children. And so let's go right into it. At the signing ceremony to commemorate the establishment of the Department of Education, President Jimmy Carter said, ""Today's signing fulfills a longstanding personal commitment on my part. My first public office was as a county school board member. As a state senator and governor, I devoted much of my time to education issues. I remain convinced that education is one of the most noble enterprises a person or society can undertake."" Pastor Carter also said, ""The Department of Education was created because education is so important to our nation's future that it must have a robust level of national support.""",29416
560,Senator Cory Booker,08:11:24,"Now, here's a letter that I really wanted to read. I'm a member of a Baptist church with the great Pastor Jefferson, but I actually study Torah. And in my Torah study with Rabbi Davidson, when I heard about all these cuts to the Department of Education, he wanted me to hear from the great rebbe, Rebbe Menachem Schneerson, the Lubavitcher Rebbe, who in 1979 wrote a letter not in support of religious schools but wrote a letter in support of public education, in support of the creation of a special Department of Education. He wrote this letter in 1979. I was so moved by it, thank you, Rabbi Davidson, I want to read it here. This is the Rebbe.",29484
561,Senator Cory Booker,08:12:08,"""I am certain that you will agree that the state of education in this country, as in many others, leaves much to be desired."" He was not happy. ""And the status quo as reflected in juvenile delinquency, et cetera, is far from satisfactory and, what's worse, has been steadily eroding and that some determined nationwide effort is called for us to upgrade the quality of public education in this resourceful country. I trust you will agree that such an enormous effort, which is surely in the highest national interest, can come only from the federal government with the fullest cooperation of state, county, and city. In my view, a separate, adequately funded, cabinet-level Department of Education subject to legislative safeguards to ensure that the traditional primacy of the states and localities in education affairs would not be jeopardized could well meet the challenge. The main reason why I support said proposal are as follows: one, the creation of a distinct cabinet-level Department of Education would have a salutatory impact on all who are involved in education, particularly parents, teachers, and students. The very innovation of upgrading the status of education from that of an adjunct to or division of another national agency would pointedly underscore its proper place among the nation's priorities.""",29528
562,Senator Cory Booker,08:13:30,"Look how prescient the Rebbe was and what he might say if he was alive today. ""Number two, the workshops of education are the school and the home. For various reasons which need not be discussed, I'm worried about the home,"" he basically says. ""Too much of school is left to the streets. In so far as the street is concerned, there is very little that we can do. As things stand more can be done and needs to be done, but in the final analysis, it's the public school where the greatest improvement can and must be achieved. Among the factors that lie in the roots of the shortcomings of public education two, in my opinion, command primary attention. One has to do with the general curriculum, which should place much greater emphasis on character building and moral and ethical values. The other has to do with the quality of teaching by qualified, dedicated, motivating teachers. The latter point requires the upgrading of teachers' salaries on par with comparable professions in other fields of science and relieving them as far as possible of other frustrations and stresses.""",29610
563,Senator Cory Booker,08:14:43,"I just want to do a side note here. I'm a big believer that we should slash public school professionals' tax rates. We need the best minds coming into the profession. Why not as a country to say, if you're going to take a job as a teacher, which unfortunately pays too low in our country, let's do that instead of, again, giving these massive tax cuts disproportionately to the wealthiest in our country?",29683
564,Senator Cory Booker,08:15:10,""" The upgrading of our nation's educational system will of course require considerable federal investment. But this is one area where spending has built-in returns, not only in the longterm but also in the immediate gains in terms of diminishing expenditures in the penal system, crime prevention, reduction of vandalism, drug abuse. In the longer term, it would also bring savings in expenditure on health and welfare and, one may venture to say, even in the defense budget, since a morally healthy, strong, and united nation is in itself a strong deterrent against any enemy.""",29710
565,Senator Cory Booker,08:15:41,"And finally, five, he says, ""The creation of a separate cabinet-level Department of Education, as I understand it, has been conceived not for the purpose of merely improving administrative efficiency nor merely as a coordinator of existing programs or for technical reasons. The main purpose is to breathe new life into the whole educational system of this nation and to involve the whole nation through its federal government in this massive concerted effort, and as such, I am convinced",29741
566,Senator Cory Booker,08:16:11,"â¦ a national Department of Education cabinet level deserves everybody's support. Thank you, Lubavitcher Rebbe. Unfortunately, this administration is not listened to the Rebbes. What does the Department of Education do, and how is this administration attacking it? Let me read you an excerpt from The New York Times.",29771
567,Senator Cory Booker,08:16:35,"Can Trump Abolish the Department of Education? It's from March 20th. President Trump signed an executive order on Thursday to the director of the Federal Department of Education to come up with a plan for its own demise. Only Congress can abolish a cabinet-level agency, and it is not clear whether Mr. Trump has the votes in Congress to do so. I will tell you, in the Senate if you need 60 votes, he doesn't. But he's already begun to dismantle the Department, firing about half of its staff, gutting its respected education research arm and vastly narrowing the focus of its civil rights division, which works to protect students from discrimination. Mr. Trump's long history of attacking the Department of Education represents a revival of a Reagan-era Republican talking point. It has unified Democrats in fiery opposition. Yeah. But is shuttering the Department possible? And if not, how has Trump begun to use the agency to achieve his policy goals?",29795
568,Senator Cory Booker,08:17:29,"What does the Department do? It's founded in 1979. Its main job is distributing money to college students through grants and loans. It also sends federal money to K-12 schools targeted towards low income and disabled students and enforces anti-discrimination laws. The money for schools has been set aside by Congress and is unlikely to be affected by Mr. Trump's executive order. I don't agree with the New York Times, because time and time again, the money set aside by Congress is being clawed back by the President against the people that the Constitution of the United States of America says has spending power.",29849
569,Senator Cory Booker,08:18:08,"The federal dollars account for only about 10% of K 12 school funding nationwide. While Mr. Trump has said he wants to return power over education to the states, states and school districts already control K through 12 education, which is mostly paid for with state and local tax dollars. The federal department does not control learning standards or reading lists in countries. The agency plays a big role in funding and disseminating research on education, but those efforts have been significantly scaled back by the Trump administration. It also administers tests that track whether American students are learning and how they compare with their peers in other states and countries. God forbid we measure people's performance.",29888
570,Senator Cory Booker,08:18:49,"It's unclear whether those tests will continue to be delivered given the drastic reductions in the staff and funding necessary to management. Still, closing the Department would not likely have much of an immediate effect on how schools and colleges operate. The Trump administration has discussed tapping the Treasury Department to disperse student loans and grants, for instance, and the Health and Human Services to administer funding with students with disabilities. Any effort to fully eliminate the Department would have to go through Congress. Republican members would most likely hear opposition from superintendents, college presidents and other education leaders in school districts. Schools and Republican regions rely on federal aid from the agency just as schools in Democratic regions do. ""They're going to run into opposition,"" said Joe Valant, an education expert at the Brookings Institution. ""They have a laser thin majority and a filibuster to confront in the Senate.""",29929
571,Senator Cory Booker,08:19:44,"Even if congressional Republicans stuck together, Dr. Valent predicts their constituents would protest given the Department's role in distributing money from programs like Pell Grants, which pay for college tuition, and IDEA, which provides support to students with disabilities. ""It's a very hard sell. I'm skeptical."" Efforts to eliminate the Department threaten the enforcement of critical laws. There's the Elementary and Secondary Education Act, which has supported school districts since 1965 in low-income areas, Individuals with Disabilities Act, which ensures 7.5 million students with disabilities receive an education. The Higher Education Act, which helps more students afford college Title IX protections to guard against sex discrimination. This doesn't just hurt our country, but undermining those resources for our students hurts generations to come.",29984
572,Senator Cory Booker,08:20:45,"I want to submit for the record New York Times article entitled Trump Firings Gut Education Department's Civil Rights Division. Thank you, my friend. Thank you, presiding officer, sir. How Education Department Cuts Could Hurt Low-Income and Rural Schools in Particular, an article on March 21st, 2025. May I submit that too, sir? Again, rural communities are really taking a hit. And if I can give disability rights testimonials.",30045
573,Senator Cory Booker,08:21:26,"Gutting the Department of Education will be devastating for students with disabilities. Right now, the Department of Education, the Individuals with Disabilities Act, which guarantees more than 7 million students in America the right to a free, appropriate public education, it ensures that provides services like speech therapies, counseling, personalized learning plans. Without federal oversight, these protections could disappear, schools could delay evaluations, cut corners or deny support altogether for parents. Consider Catherine a resident of Westwood, New Jersey. Right by Harrington Park where I grew up. Catherine has 7-year-old twin boys who receive special services. They currently attend an out-of-school district specialized program, but are very much a part of Westwood Regional School District, and may even one day transition back into the school.",30086
574,Senator Cory Booker,08:22:22,"In her words, ""The Department of Education plays a critical role in enforcing the IDEA and ensuring that students with disabilities receive the accommodations and support they need to succeed. Without this oversight, many students risk losing essential services, widening existing gaps and disparities and they will face greater barriers to academic success and reaching their highest potential. This is not a partisan issue. It's a matter of ensuring that all students regardless of ability have equal access to education."" Her story is one of thousands of parents, educators, and advocates across the country who are standing up for children's rights to an equitable education, for Catherine's family, for her boys, and for every child who deserves a fair shot at success. Their fight for an inclusive education is essential.",30142
575,Senator Cory Booker,08:23:12,"Here's Ashley from Wayne, New Jersey who knows firsthand how important the Department of Education's funding is. Her daughter whose legally blind relies on Bookshare, an online learning tool that provides accessible materials to students with print disabilities at no cost to schools or families. Without it, her daughter would be left behind. As Ashley put it, ""This is a service she absolutely needs in order to access information that regularly-sighted people do, not even have to think about. Cutting programs like this isn't just irresponsible, it would be cruel.""",30192
576,Senator Cory Booker,08:23:50,"Kimberly from Dumont, New Jersey, the mother of twin boys with nonverbal level three autism. They attend an amazing school in Nutley because of IDEA. Without it, their future would be uncertain. In her own words, she says, ""It was not long ago that kids like them would've had to have been institutionalized. Now they're able to have a beautiful life and go to school. I am terrified of the future if IDEA is eliminated. I am begging you, please consider families like mine."" Kimberly, I see you.",30230
577,Senator Cory Booker,08:24:27,"Michelle from New Jersey shares this fear. Her daughter who has neurofibromatosis, who's one, and has apraxia, depends on in-class support to succeed. She knows firsthand how essential the Department of Education is in protecting students with disabilities. This is her words now, ""Gutting, weakening, and ultimately closing the Department of Education is disastrous and dangerous for the disabled students who depend upon it."" She reminds us that education is a civil right and laws like IDEA and Section 504 ensure that students with disabilities receive the support they need to succeed. Alana from my state is deeply concerned about her 20-year-old son who depends on the protections of Section 504 to have a fair shot at the future. Her 10-year-old child with autism relies on these protections every single day. She's asking for help because as she put it, ""Section 504 and its rules are very important to the disability community. We need your help to save it.""",30267
578,Senator Cory Booker,08:25:33,"Roger, who's a grandfather from New Jersey, is also pleading for action. His granddaughter has relied on a 504 plan since seventh grade and will continue to need it as she applies to college. He raises the essential question, ""Which programs are directly helping students?"" The answer is clear laws like IDEA, IEPs and Section 504, they're not luxuries, they're lifelines. Again, this is not about politics and as we see from various writings, people from both sides of the aisle are worried and concerned. I'd like to submit for the record this article from one of the publications in my state, What Happens to Special Education Programs in New Jersey if Trump Shuts Down the Department of Education? It's by Gene Myers.",30333
579,Speaker 2,08:26:29,Without objection.,30389
580,Senator Cory Booker,08:26:30,"Thank you very much. I want to say something about student loans too. The Department of Education is also responsible for operating the $1.6 trillion student federal loan program, which benefits 42.7 million borrowers in America and allow students to access higher education, something that is shown unequivocally to strengthen our economy. This administration plans to move student loan funding to the small business administration, a plan that even some of my Republican colleagues in Congress have expressed serious concerns about. Here's an article that Republicans are hesitant to stand behind Trump's plan for student loans.",30390
581,Senator Cory Booker,08:27:22,"Although SBA managed a wealth of COVID relief programs, it normally runs a much smaller operation than the student debt program. President Trump has yet to win over his own party to push ""immediately"" in transfer of the Department of Education's massive student loan operation to another agency that slated for deep staff cuts. Trump was expected to propose moving the agency's $1.6 trillion portfolio to the Treasury Department, a concept long discussed on Capitol Hill and suggested in Project 2025, the Heritage Foundation's conservative policy blueprint. Instead, the President announced this month that the SBA would get it, surprising many lawmakers and conservatives who track the issue. Although the SBA, which provides financial support to companies for disaster relief, training, and other needs, managed a wealth of COVID relief programs, it normally runs a much smaller operation then student debt. It's also slated to lose 43% of its staff.",30442
